??,???????,??????????????(???),?????????????(???),??????(???),??????/???(??.)
2547,?????,133247,113929,116322,1021
2548,?????,130880,110962,91655,826
2549,?????,128404,110577,74861,677.0034
2550,?????,125863,113644,133532,1175.0026
2551,?????,119947,115349,100584,872
2552,?????,115253,111616,122778,1100
2553,?????,111912,109307,66131,605
2554,?????,112532,108916,56092,515
2555,?????,115938,108081,110026,1018
2556,?????,124620,108494,127046,1171
2557,?????,158079,125437,151141,1205
2558,?????,167040,125404,124495,993
2559,?????,202823,127250,136807,1075
2560,?????,208848,130911,114252,873
2561,?????,217725,147201,154773,1051
2562,?????,223886,157833,277729,1760
2563,?????,232011,196158,315552,1609
2547,????????????,52895,37126,42212,1137
2548,????????????,53258,37405,33290,890
2549,????????????,51272,35687,32761,918.0094
2550,????????????,46142,36665,38498,1050.0058
2551,????????????,44932,37401,37513,1003
2552,????????????,37778,30772,36096,1173
2553,????????????,36436,30926,32101,1038
2554,????????????,34117,30089,22326,742
2555,????????????,29449,26926,31423,1167
2556,????????????,30154,24970,32012,1282
2557,????????????,31079,23580,28764,1220
2558,????????????,42167,23357,28311,1212
2559,????????????,45240,23807,23289,978
2560,????????????,54282,26876,21375,795
2561,????????????,70520,28191,25368,900
2562,????????????,76873,39039,45825,1174
2563,????????????,79994,40967,39396,962
